timestamp,CPS,CPM,uSv/h,mR/h
2025-10-23 19:28:26,2.783,167.00,1.086,0.109
2025-10-23 19:29:26,3.500,210.00,1.365,0.137
2025-10-23 19:30:26,2.500,150.00,0.975,0.098
