timestamp,CPS,CPM,uSv/h,mR/h
2025-10-21 18:20:14,0.833,50.00,0.325,0.033
2025-10-21 18:21:14,0.967,58.00,0.377,0.038
2025-10-21 18:22:14,0.867,52.00,0.338,0.034
2025-10-21 18:23:14,1.017,61.00,0.397,0.040
2025-10-21 18:24:14,0.917,55.00,0.358,0.036
2025-10-21 18:25:14,1.067,64.00,0.416,0.042
2025-10-21 18:26:14,1.050,63.00,0.410,0.041
2025-10-21 18:27:14,0.883,53.00,0.345,0.034
2025-10-21 18:28:14,0.783,47.00,0.306,0.031
2025-10-21 18:29:14,0.817,49.00,0.319,0.032
2025-10-21 18:30:14,1.317,79.00,0.514,0.051
2025-10-21 18:31:14,0.950,57.00,0.371,0.037
2025-10-21 18:32:14,1.000,60.00,0.390,0.039
2025-10-21 18:33:14,0.883,53.00,0.345,0.034
2025-10-21 18:34:14,1.200,72.00,0.468,0.047
2025-10-21 18:35:14,0.967,58.00,0.377,0.038
2025-10-21 18:36:14,0.983,59.00,0.384,0.038
2025-10-21 18:42:13,0.933,56.00,0.364,0.036
