timestamp,CPS
2025-11-05 19:22:14,14
2025-11-05 19:22:24,10
2025-11-05 19:22:34,8
2025-11-05 19:22:44,11
2025-11-05 19:22:54,12
2025-11-05 19:23:04,4
2025-11-05 19:23:14,12
2025-11-05 19:23:24,4
2025-11-05 19:23:34,1
2025-11-05 19:23:44,14
2025-11-05 19:23:54,11
2025-11-05 19:24:04,18
2025-11-05 19:24:14,15
2025-11-05 19:24:24,10
2025-11-05 19:24:34,13
2025-11-05 19:24:44,4
2025-11-05 19:24:54,12
2025-11-05 19:25:04,8
2025-11-05 19:25:14,15
2025-11-05 19:25:24,0
2025-11-05 19:25:34,4
2025-11-05 19:25:44,15
2025-11-05 19:25:54,14
2025-11-05 19:26:04,11
2025-11-05 19:26:14,12
2025-11-05 19:26:24,8
2025-11-05 19:26:34,8
2025-11-05 19:26:44,16
2025-11-05 19:26:54,22
2025-11-05 19:27:04,10
2025-11-05 19:27:14,9
2025-11-05 19:27:24,15
2025-11-05 19:27:34,12
2025-11-05 19:27:44,17
