timestamp,CPS,CPM,uSv/h,mR/h
2025-09-24 18:08:42,3.717,223.00,1.450,0.145
2025-09-24 18:09:42,4.200,252.00,1.638,0.164
2025-09-24 18:10:42,3.917,235.00,1.528,0.153
2025-09-24 18:11:41,4.000,240.00,1.560,0.156
2025-09-24 18:12:41,3.483,209.00,1.359,0.136
2025-09-24 18:13:41,3.700,222.00,1.443,0.144
2025-09-24 18:14:41,3.717,223.00,1.450,0.145
2025-09-24 18:15:41,3.850,231.00,1.502,0.150
