timestamp,CPS
2025-11-05 18:17:13,50
2025-11-05 18:17:23,61
2025-11-05 18:17:33,59
2025-11-05 18:17:43,58
2025-11-05 18:17:53,66
2025-11-05 18:18:03,46
2025-11-05 18:18:13,58
2025-11-05 18:18:23,77
2025-11-05 18:18:33,60
2025-11-05 18:18:43,34
2025-11-05 18:18:53,56
2025-11-05 18:19:03,67
2025-11-05 18:19:13,38
2025-11-05 18:19:23,85
2025-11-05 18:19:33,42
2025-11-05 18:19:43,58
2025-11-05 18:19:53,41
2025-11-05 18:20:03,48
2025-11-05 18:20:13,61
2025-11-05 18:20:23,54
2025-11-05 18:20:33,44
2025-11-05 18:20:43,62
2025-11-05 18:20:53,69
2025-11-05 18:21:03,40
2025-11-05 18:21:13,67
2025-11-05 18:21:23,43
2025-11-05 18:21:33,69
2025-11-05 18:21:43,75
2025-11-05 18:21:53,51
2025-11-05 18:22:03,73
2025-11-05 18:22:13,51
2025-11-05 18:22:23,48
2025-11-05 18:22:33,62
2025-11-05 18:22:43,56
2025-11-05 18:22:53,55
2025-11-05 18:23:03,65
2025-11-05 18:23:13,74
