timestamp,CPS
2025-11-05 18:24:06,48
2025-11-05 18:24:16,40
2025-11-05 18:24:26,52
2025-11-05 18:24:36,46
2025-11-05 18:24:46,59
2025-11-05 18:24:56,45
2025-11-05 18:25:06,41
2025-11-05 18:25:16,37
2025-11-05 18:25:26,32
2025-11-05 18:25:36,44
2025-11-05 18:25:46,28
2025-11-05 18:25:56,46
2025-11-05 18:26:06,28
2025-11-05 18:26:16,28
2025-11-05 18:26:26,44
2025-11-05 18:26:36,30
2025-11-05 18:26:46,36
2025-11-05 18:26:56,38
2025-11-05 18:27:06,41
2025-11-05 18:27:16,48
2025-11-05 18:27:26,28
2025-11-05 18:27:36,35
2025-11-05 18:27:46,34
2025-11-05 18:27:56,38
2025-11-05 18:28:06,31
2025-11-05 18:28:16,23
2025-11-05 18:28:26,40
2025-11-05 18:28:36,35
2025-11-05 18:28:46,22
2025-11-05 18:28:56,24
2025-11-05 18:29:06,35
2025-11-05 18:29:16,41
2025-11-05 18:29:26,35
2025-11-05 18:29:36,38
2025-11-05 18:29:46,30
2025-11-05 18:29:56,45
2025-11-05 18:30:06,36
2025-11-05 18:30:16,48
2025-11-05 18:30:26,27
2025-11-05 18:30:36,43
2025-11-05 18:30:46,44
2025-11-05 18:30:56,35
2025-11-05 18:31:06,35
2025-11-05 18:31:16,30
2025-11-05 18:31:26,47
2025-11-05 18:31:36,30
2025-11-05 18:31:46,37
2025-11-05 18:31:56,26
2025-11-05 18:32:06,50
2025-11-05 18:32:16,32
2025-11-05 18:32:26,28
2025-11-05 18:32:36,42
2025-11-05 18:32:46,39
2025-11-05 18:32:56,31
2025-11-05 18:33:06,34
2025-11-05 18:33:16,51
2025-11-05 18:33:26,40
2025-11-05 18:33:36,55
