timestamp,CPS
2025-11-05 19:03:49,11
2025-11-05 19:03:59,13
2025-11-05 19:04:09,15
2025-11-05 19:04:19,4
2025-11-05 19:04:29,17
2025-11-05 19:04:39,19
2025-11-05 19:04:49,10
2025-11-05 19:04:59,16
2025-11-05 19:05:09,32
2025-11-05 19:05:19,4
2025-11-05 19:05:29,17
2025-11-05 19:05:39,14
2025-11-05 19:05:49,21
2025-11-05 19:05:59,14
2025-11-05 19:06:09,9
2025-11-05 19:06:19,14
2025-11-05 19:06:29,12
2025-11-05 19:06:39,6
2025-11-05 19:06:49,26
2025-11-05 19:06:59,8
2025-11-05 19:07:09,17
2025-11-05 19:07:19,10
2025-11-05 19:07:29,18
2025-11-05 19:07:39,14
2025-11-05 19:07:49,30
2025-11-05 19:07:59,10
2025-11-05 19:08:09,19
2025-11-05 19:08:19,14
2025-11-05 19:08:29,8
2025-11-05 19:08:39,14
2025-11-05 19:08:49,15
2025-11-05 19:08:59,20
2025-11-05 19:09:09,13
2025-11-05 19:09:19,16
2025-11-05 19:09:29,6
2025-11-05 19:09:39,22
2025-11-05 19:09:49,10
2025-11-05 19:09:59,20
2025-11-05 19:10:09,18
2025-11-05 19:10:19,13
2025-11-05 19:10:29,22
2025-11-05 19:10:39,12
2025-11-05 19:10:49,4
2025-11-05 19:10:59,20
2025-11-05 19:11:09,14
2025-11-05 19:11:19,22
2025-11-05 19:11:29,10
2025-11-05 19:11:39,21
2025-11-05 19:11:49,26
2025-11-05 19:11:59,15
2025-11-05 19:12:09,13
2025-11-05 19:12:19,17
2025-11-05 19:12:29,23
2025-11-05 19:12:39,10
2025-11-05 19:12:49,10
2025-11-05 19:12:59,17
2025-11-05 19:13:09,14
2025-11-05 19:13:19,6
2025-11-05 19:13:29,16
2025-11-05 19:13:39,14
2025-11-05 19:13:49,15
2025-11-05 19:13:59,20
2025-11-05 19:14:09,12
