timestamp,CPS,CPM,uSv/h,mR/h
2025-09-24 18:01:44,11.233,674.00,4.382,0.438
2025-09-24 18:02:44,11.300,678.00,4.408,0.441
2025-09-24 18:03:44,10.083,605.00,3.934,0.393
2025-09-24 18:04:44,10.217,613.00,3.986,0.399
2025-09-24 18:05:44,9.783,587.00,3.817,0.382
